stationID,nameTH,nameEN,district,areaTH,areaEN,stationType,lat,long,forecast,LastUpdate,date,time,PM25.value,PM25.unit,PM10.value,PM10.unit,O3.value,O3.unit,CO.value,CO.unit,NO2.value,NO2.unit,SO2.value,SO2.unit,AQI.Level,AQI.aqi
13t,กรมควบควบคุมโรค,Department of Disease Control,,"ต.ตลาดขวัญ อ.เมือง, นนทบุรี"," Bang Krua, Bang Kruai, Nonthaburi",GROUND,13.807156,100.506319,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '8', 'unit': 'µg/m³'}, 'PM10': {'value': '15', 'unit': 'µg/m³'}, 'O3': {'value': '3', 'unit': 'ppb'}, 'CO': {'value': '0.54', 'unit': 'ppm'}, 'NO2': {'value': '9', 'unit': 'ppb'}, 'SO2': {'value': '1', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '8'}}",2021-08-26,14:00,8,µg/m³,15,µg/m³,3,ppb,0.54,ppm,9,ppb,1,ppb,1,8
22t,มหาวิทยาลัยสุโขทัยธรรมาธิราช,Sukhothai Thammathirat Open University,,"ต.บางพูด อ.ปากเกร็ด, นนทบุรี","Bang Phut, Pak Kret, Nonthaburi",GROUND,13.907861,100.535641,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '5', 'unit': 'µg/m³'}, 'PM10': {'value': '13', 'unit': 'µg/m³'}, 'O3': {'value': '4', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '7'}}",2021-08-26,14:00,5,µg/m³,13,µg/m³,4,ppb,-,ppm,-,ppb,-,ppb,1,7
20t,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต,Bangkok University Rangsit Campus,,"ต.คลองหนึ่ง อ.คลองหลวง, ปทุมธานี","Khlong Nueng, Khlong Luang, Pathum Thani",GROUND,14.03742,100.605216,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '12', 'unit': 'µg/m³'}, 'PM10': {'value': '26', 'unit': 'µg/m³'}, 'O3': {'value': '8', 'unit': 'ppb'}, 'CO': {'value': '0.28', 'unit': 'ppm'}, 'NO2': {'value': '15', 'unit': 'ppb'}, 'SO2': {'value': '3', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '13'}}",2021-08-26,14:00,12,µg/m³,26,µg/m³,8,ppb,0.28,ppm,15,ppb,3,ppb,1,13
08t,ศูนย์ฟื้นฟูอาชีพคนพิการและทุพลภาพ,Prabadang Rehabiltation Center,,"ต.ทรงคนอง อ.พระประแดง, สมุทรปราการ","Song Kanong, Phra Pradaeng, Samut Prakan",GROUND,13.664087,100.543436,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '11', 'unit': 'µg/m³'}, 'PM10': {'value': '22', 'unit': 'µg/m³'}, 'O3': {'value': '19', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '2', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '14'}}",2021-08-26,14:00,11,µg/m³,22,µg/m³,19,ppb,-,ppm,2,ppb,-,ppb,1,14
16t,โรงไฟฟ้าพระนครใต้,South Bangkok Power Plant,,"ต.บางโปรง อ.เมือง, สมุทรปราการ","Bang Prong, Meuang, Samut Prakan",GROUND,13.618,100.5562,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '7', 'unit': 'µg/m³'}, 'PM10': {'value': '14', 'unit': 'µg/m³'}, 'O3': {'value': '8', 'unit': 'ppb'}, 'CO': {'value': '0.39', 'unit': 'ppm'}, 'NO2': {'value': '3', 'unit': 'ppb'}, 'SO2': {'value': '1', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '7'}}",2021-08-26,14:00,7,µg/m³,14,µg/m³,8,ppb,0.39,ppm,3,ppb,1,ppb,1,7
17t,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,Residence for Dept. of Mineral Resources,,"ต.ตลาด อ.พระประแดง, สมุทรปราการ","Talat, Phra Pradaeng, Samut Prakan",GROUND,13.652141,100.531805,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '6', 'unit': 'µg/m³'}, 'PM10': {'value': '12', 'unit': 'µg/m³'}, 'O3': {'value': '8', 'unit': 'ppb'}, 'CO': {'value': '0.71', 'unit': 'ppm'}, 'NO2': {'value': '2', 'unit': 'ppb'}, 'SO2': {'value': '3', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '6'}}",2021-08-26,14:00,6,µg/m³,12,µg/m³,8,ppb,0.71,ppm,2,ppb,3,ppb,1,6
18t,ศาลากลางจังหวัดสมุทรปราการ,"City Hall, Samut Prakan",,"ต.ปากน้ำ อ.เมือง, สมุทรปราการ","Pak Nam, Meuang, Samut Prakan",GROUND,13.599149,100.597345,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '18', 'unit': 'µg/m³'}, 'PM10': {'value': '32', 'unit': 'µg/m³'}, 'O3': {'value': '11', 'unit': 'ppb'}, 'CO': {'value': '0.33', 'unit': 'ppm'}, 'NO2': {'value': '4', 'unit': 'ppb'}, 'SO2': {'value': '1', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '18'}}",2021-08-26,14:00,18,µg/m³,32,µg/m³,11,ppb,0.33,ppm,4,ppb,1,ppb,1,18
19t,การเคหะชุมชนเมืองใหม่บางพลี,National Housing Authority Bangplee,,"ต.บางเสาธง อ.บางเสาธง, สมุทรปราการ","Bang Sao Thong, Bang Sao Thong, Samut Prakan ",GROUND,13.5705,100.786287,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '10', 'unit': 'µg/m³'}, 'PM10': {'value': '19', 'unit': 'µg/m³'}, 'O3': {'value': '14', 'unit': 'ppb'}, 'CO': {'value': '0.37', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': '6', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '10'}}",2021-08-26,14:00,10,µg/m³,19,µg/m³,14,ppb,0.37,ppm,-,ppb,6,ppb,1,10
o27,สวนศรีนครเขื่อนขันธ์,Sri Nakhon Khuean Khan Park,,"ต.บางกะเจ้า อ.พระประแดง, สมุทรปราการ"," Bang Krachao Subdistrict, Phra Pradaeng, Samut Prakan",MOBILE,13.696681,100.563631,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '6', 'unit': 'µg/m³'}, 'PM10': {'value': 'N/A', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': 'N/A', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '6'}}",2021-08-26,14:00,6,µg/m³,N/A,µg/m³,N/A,ppb,N/A,ppm,N/A,ppb,N/A,ppb,1,6
14t,แขวงการทางสมุทรสาคร,Highway District,,"ต.อ้อมน้อย อ.กระทุ่มแบน, สมุทรสาคร","Om Noi, Krathum Baen, Samut Sakhon",GROUND,13.705458,100.315675,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '14', 'unit': 'µg/m³'}, 'PM10': {'value': '35', 'unit': 'µg/m³'}, 'O3': {'value': '6', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': '0', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '18'}}",2021-08-26,14:00,14,µg/m³,35,µg/m³,6,ppb,-,ppm,-,ppb,0,ppb,1,18
27t,โรงเรียนสมุทรสาครวิทยาลัย,Samut Sakhon Wittayalai School,,"ต.มหาชัย อ.เมือง, สมุทรสาคร","Maha Chai, Mueang, Samut Sakhon",GROUND,13.550478,100.264254,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '11', 'unit': 'µg/m³'}, 'PM10': {'value': '23', 'unit': 'µg/m³'}, 'O3': {'value': '9', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': '3', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '12'}}",2021-08-26,14:00,11,µg/m³,23,µg/m³,9,ppb,N/A,ppm,3,ppb,-,ppb,1,12
